segment,time_s,min_speed_mph,max_speed_mph,likely_speed_mph,min_position_ft,max_position_ft,likely_position_ft
2,15.260504201680673,-9.391512605042019,-7.307478991596634,-9.131008403361346,42321.03104775939,42321.42917497357,42321.08081366116
2,15.521008403361344,-10.173025210084033,-6.004957983193277,-9.652016806722688,42317.29350010814,42318.88600896486,42317.492563715234
2,15.781512605042018,-10.95453781512605,-4.7024369747899115,-10.173025210084035,42313.25735704626,42316.84050197388,42313.70525016222
2,16.04201680672269,-11.736050420168068,-3.3999159663865544,-10.694033613445377,42308.92261857374,42315.29265400062,42309.71887300211
2,16.30252100840336,-12.517563025210078,-2.0973949579831985,-11.21504201680672,42304.289284690596,42314.24246504509,42305.53343223491
2,16.563025210084035,-13.299075630252105,-0.7948739495798235,-11.73605042016807,42299.35735539681,42313.68993510728,42301.14892786062
2,16.823529411764707,-14.080588235294119,-0.0,-12.257058823529412,42294.12683069239,42313.597267289304,42296.56535987924
2,17.084033613445378,-14.862100840336133,-0.0,-12.778067226890755,42288.597710577335,42313.597267289304,42291.782728290775
2,17.34453781512605,-15.643613445378147,-0.0,-13.299075630252098,42282.76999505164,42313.597267289304,42286.80103309522
2,17.605042016806724,-16.42512605042017,-0.0,-13.820084033613448,42276.64368411532,42313.597267289304,42281.62027429257
2,17.865546218487395,-17.20663865546219,-0.0,-14.34109243697479,42270.21877776836,42313.597267289304,42276.240451882826
2,18.126050420168067,-17.9881512605042,-0.0,-14.862100840336133,42263.49527601076,42313.597267289304,42270.661565866
2,18.386554621848738,-18.769663865546217,-0.0,-15.383109243697476,42256.473178842534,42313.597267289304,42264.883616242085
2,18.647058823529413,-19.55117647058824,-0.0,-15.904117647058824,42249.15248626367,42313.597267289304,42258.90660301108
2,18.907563025210084,-20.332689075630253,-0.0,-16.425126050420165,42241.53319827417,42313.597267289304,42252.73052617298
2,19.168067226890756,-21.114201680672267,-0.0,-16.946134453781507,42233.615314874034,42313.597267289304,42246.35538572779
2,19.42857142857143,-21.89571428571429,-0.0,-17.46714285714286,42225.398836063265,42313.597267289304,42239.78118167551
2,19.689075630252102,-22.67722689075631,-0.0,-17.988151260504203,42216.88376184186,42313.597267289304,42233.00791401615
2,19.949579831932773,-23.45873949579832,-0.0,-18.509159663865546,42208.070092209826,42313.597267289304,42226.03558274969
2,20.210084033613445,-24.24025210084033,-0.0,-19.03016806722689,42198.95782716715,42313.597267289304,42218.86418787614
2,20.470588235294116,-25.021764705882347,-0.0,-19.55117647058823,42189.54696671384,42313.597267289304,42211.4937293955
2,20.73109243697479,-25.803277310924372,-0.0,-20.07218487394958,42179.8375108499,42313.597267289304,42203.92420730778
2,20.991596638655462,-26.58478991596639,-0.0,-20.593193277310924,42169.82945957532,42313.597267289304,42196.15562161296
2,21.252100840336134,-27.3663025210084,-0.0,-21.114201680672267,42159.52281289011,42313.597267289304,42188.187972311054
2,21.51260504201681,-28.14781512605042,-0.0,-21.635210084033616,42148.91757079426,42313.597267289304,42180.021259402056
2,21.77310924369748,-28.92932773109244,-0.0,-22.15621848739496,42138.01373328778,42313.597267289304,42171.655482885966
2,22.03361344537815,-29.710840336134456,-0.0,-22.677226890756298,42126.81130037066,42313.597267289304,42163.09064276279
2,22.294117647058826,-30.49235294117648,-0.0,-23.19823529411765,42115.31027204291,42313.597267289304,42154.32673903253
2,22.554621848739497,-31.273865546218488,-0.0,-23.719243697478994,42103.510648304524,42313.597267289304,42145.36377169517
2,22.81512605042017,-32.055378151260506,-0.0,-24.240252100840337,42091.4124291555,42313.597267289304,42136.20174075072
2,23.07563025210084,-32.83689075630252,-0.0,-24.76126050420168,42079.01561459584,42313.597267289304,42126.84064619918
2,23.33613445378151,-33.61840336134454,-0.0,-25.282268907563022,42066.320204625554,42313.597267289304,42117.28048804056
2,23.596638655462186,-34.39991596638655,-0.0,-25.803277310924372,42053.32619924462,42313.597267289304,42107.521266274845
2,23.857142857142858,-35.18142857142857,-0.0,-26.32428571428571,42040.03359845306,42313.597267289304,42097.56298090204
2,24.11764705882353,-35.962941176470586,-0.0,-26.771736461704357,42026.44240225087,42313.597267289304,42087.41968414494
2,24.378151260504204,-36.74445378151261,-0.0,-26.771736461704357,42012.552610638035,42313.597267289304,42077.19090780708
2,24.638655462184875,-37.52596638655463,-0.0,-26.771736461704357,41998.36422361457,42313.597267289304,42066.96213146923
2,24.899159663865547,-38.30747899159664,-0.0,-26.771736461704357,41983.87724118047,42313.597267289304,42056.73335513137
2,25.15966386554622,-39.088991596638664,-0.0,-26.771736461704357,41969.091663335734,42313.597267289304,42046.504578793516
2,25.42016806722689,-39.87050420168067,-0.0,-26.771736461704357,41954.00749008036,42313.597267289304,42036.27580245566
2,25.680672268907564,-40.6520168067227,-0.0,-26.771736461704357,41938.62472141436,42313.597267289304,42026.047026117805
2,25.941176470588236,-41.4335294117647,-0.0,-26.771736461704357,41922.94335733772,42313.597267289304,42015.81824977995
2,26.201680672268907,-42.21504201680672,-0.0,-26.771736461704357,41906.96339785044,42313.597267289304,42005.589473442094
2,26.46218487394958,-42.996554621848745,-0.0,-26.771736461704357,41890.684842952534,42313.597267289304,41995.36069710424
2,26.722689075630253,-43.77806722689076,-0.0,-26.771736461704357,41874.107692643986,42313.597267289304,41985.131920766384
2,26.983193277310924,-44.55957983193278,-0.0,-26.771736461704357,41857.23194692481,42313.597267289304,41974.90314442853
2,27.2436974789916,-45.3410924369748,-0.0,-26.771736461704357,41840.057605794995,42313.597267289304,41964.67436809067
2,27.50420168067227,-46.122605042016815,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41954.44559175282
2,27.764705882352942,-46.904117647058825,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41944.21681541496
2,28.025210084033617,-47.68563025210086,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41933.98803907711
2,28.285714285714285,-48.46714285714285,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41923.75926273925
2,28.54621848739496,-49.24865546218488,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41913.530486401396
2,28.80672268907563,-50.030168067226896,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41903.30171006354
2,29.067226890756302,-50.81168067226891,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41893.072933725685
2,29.327731092436977,-51.59319327731094,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41882.84415738783
2,29.58823529411765,-52.374705882352956,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41872.615381049975
2,29.84873949579832,-53.15621848739496,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41862.38660471212
2,30.109243697478995,-53.937731092436984,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41852.157828374264
2,30.369747899159663,-54.719243697478994,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41841.92905203641
2,30.630252100840337,-55.50075630252102,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,30.89075630252101,-56.28226890756302,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,31.15126050420168,-57.06378151260504,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,31.411764705882355,-57.84529411764707,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,31.672268907563026,-58.62680672268908,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,31.932773109243698,-59.4083193277311,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,32.19327731092437,-60.0,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,32.45378151260505,-60.0,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,32.714285714285715,-60.0,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,32.97478991596638,-60.0,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
2,33.23529411764706,-60.0,-0.0,-26.771736461704357,41838.098890952,42313.597267289304,41838.098890952
